"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"240","ILMN_2290118",-1.3064870967446,7.03189468002693,-11.0184001584139,8.8165501942317e-18,1.41136530973694e-15,30.0506333869851,"MEGF9","multiple EGF like domains 9"
"241","ILMN_2323172",-1.26377415788814,7.83997524734582,-9.25200582654466,2.52225176846208e-14,1.51733525495354e-12,22.2073765738552,"CSF3R","colony stimulating factor 3 receptor"
"242","ILMN_2330552",1.00622771694717,6.22080493955081,8.49477902691933,7.92576191674669e-13,3.231979740029e-11,18.8113115294383,"CDK11B","cyclin dependent kinase 11B"
"243","ILMN_2330552",1.00622771694717,6.22080493955081,8.49477902691933,7.92576191674669e-13,3.231979740029e-11,18.8113115294383,"CDK11A","cyclin dependent kinase 11A"
"244","ILMN_2348487",-1.34594068714967,6.20398154817104,-10.3751666488769,1.56374382319407e-16,1.69372106207608e-14,27.2170434925596,"ADGRE3","adhesion G protein-coupled receptor E3"
"245","ILMN_2352245",1.01316613049026,7.25421843379561,9.19565428104919,3.25929440537414e-14,1.89688132254606e-12,21.9547709822566,"RASSF6","Ras association domain family member 6"
"246","ILMN_2352921",-1.2093056839108,8.60652253540821,-6.15311639579336,2.74614955580928e-08,4.04126415155929e-07,8.54958885354702,"BPGM","bisphosphoglycerate mutase"
"247","ILMN_2355168",-1.08647853841578,6.55439323922061,-7.84730959839746,1.50016832599887e-11,4.34358976253652e-10,15.917355662546,"MGST1","microsomal glutathione S-transferase 1"
"248","ILMN_2359800",-1.30500806319852,9.72085599700073,-9.39719413690234,1.30346364360901e-14,8.49031270424715e-13,22.8578759931581,"MS4A6A","membrane spanning 4-domains A6A"
"249","ILMN_2360415",-1.00656147302811,8.36100223980319,-12.8446826444088,3.10403597349118e-21,1.5933151610016e-18,37.8777388487579,"PRNP","prion protein (Kanno blood group)"
"250","ILMN_2363586",-1.23994940810208,8.94469912301281,-13.4894559399869,2.04789627612384e-22,1.69666410076618e-19,40.5491478375043,"SDCBP","syndecan binding protein"
"251","ILMN_2363591",-1.26832514744014,7.37217208175041,-13.3303886680737,3.9861503587208e-22,2.98796769111478e-19,39.8949307077908,"SDCBP","syndecan binding protein"
"252","ILMN_2364305",-1.01179250093999,6.48347999358213,-5.68658548677417,1.98578526973452e-07,2.46780851520902e-06,6.62010082538201,"FECH","ferrochelatase"
"253","ILMN_2369018",-1.0769443351164,6.32045187046953,-10.5166681817583,8.28427374291526e-17,9.68357780285718e-15,27.8431366883281,"EVI2A","ecotropic viral integration site 2A"
"254","ILMN_2372974",-1.16458779566373,6.93771321904617,-8.86881189508318,1.44322405115116e-13,7.07000130617867e-12,20.4888043724624,"SIRPA","signal regulatory protein alpha"
"255","ILMN_2374340",-1.10926356241754,7.22148766731378,-8.29689443086627,1.95005863233407e-12,7.07293155555639e-11,17.9249281729758,"PLAUR","plasminogen activator, urokinase receptor"
"256","ILMN_2379599",-1.2680037910142,8.49952402188531,-7.34504224371832,1.4437545905026e-10,3.34624142650316e-09,13.6918695206845,"CD163","CD163 molecule"
"257","ILMN_2383107",1.13282839055553,9.64500359238305,11.2282011998917,3.47682843782735e-18,6.43881357442975e-16,30.9673115189885,"VPS41","VPS41 subunit of HOPS complex"
"258","ILMN_2387680",-1.07692859186848,5.05530392720144,-16.4832146254471,1.33266777593374e-27,1.04889838417825e-23,52.2428334566504,NA,NA
"259","ILMN_2392569",-1.28756820088828,5.4007430118343,-10.4110640606483,1.33079706843924e-16,1.46152466883662e-14,27.3760111050535,"FPR2","formyl peptide receptor 2"
"260","ILMN_2406501",-1.07184960062565,7.42079244925628,-10.5157885438579,8.31701924049893e-17,9.69784979292151e-15,27.8392490694582,"SOD2","superoxide dismutase 2"
"261","ILMN_2410516",-1.04295256791838,7.87940991151204,-6.66178115704604,3.00750677727739e-09,5.26804525408559e-08,10.7132180451262,"PPM1A","protein phosphatase, Mg2+/Mn2+ dependent 1A"
"262","ILMN_2411897",-1.205395079225,5.65035315064599,-12.3519536658088,2.56100678470083e-20,9.99512267774479e-18,35.8021817059995,"KLF10","KLF transcription factor 10"
"263","ILMN_3200362",1.9864603008896,7.7124423761272,14.1780296988341,1.18801017677285e-23,1.51628628616003e-20,43.343694790038,"NBPF14","NBPF member 14"
"264","ILMN_3200362",1.9864603008896,7.7124423761272,14.1780296988341,1.18801017677285e-23,1.51628628616003e-20,43.343694790038,"NBPF1","NBPF member 1"
"265","ILMN_3200362",1.9864603008896,7.7124423761272,14.1780296988341,1.18801017677285e-23,1.51628628616003e-20,43.343694790038,"NBPF15","NBPF member 15"
"266","ILMN_3200362",1.9864603008896,7.7124423761272,14.1780296988341,1.18801017677285e-23,1.51628628616003e-20,43.343694790038,"NBPF9","NBPF member 9"
"267","ILMN_3200362",1.9864603008896,7.7124423761272,14.1780296988341,1.18801017677285e-23,1.51628628616003e-20,43.343694790038,"NBPF10","NBPF member 10"
"268","ILMN_3201643",1.13211774056778,6.7304840749024,9.76567614131526,2.44851036723976e-15,1.94988960510169e-13,24.5057854487883,NA,NA
"269","ILMN_3215461",1.08314945181743,9.93293917139924,9.16184538747683,3.80132594160251e-14,2.16542601044918e-12,21.8031882885995,NA,NA
"270","ILMN_3224926",-1.06537617929942,7.61184673913527,-7.02631113421403,5.99782049750644e-10,1.21302387654923e-08,12.2938508602916,"RBM47","RNA binding motif protein 47"
"271","ILMN_3225673",1.02034645976791,7.1094910705475,10.3386896468993,1.84242505881811e-16,1.95960993192852e-14,27.0554181936289,"NLRP8","NLR family pyrin domain containing 8"
"272","ILMN_3229324",-1.04530232329518,8.18630159777491,-7.34030558036253,1.47475860987121e-10,3.41057789385691e-09,13.6710011205605,"SGK1","serum/glucocorticoid regulated kinase 1"
"273","ILMN_3230608",1.87762927191879,8.9610586590902,14.9933678081159,4.40679631360494e-25,9.67980580403342e-22,46.5723183942643,NA,NA
"274","ILMN_3231550",1.27773357857632,10.5890822990145,11.2197464798099,3.60940268718924e-18,6.65822001952441e-16,30.9304487880608,"MRI1","methylthioribose-1-phosphate isomerase 1"
"275","ILMN_3233239",1.00557318751428,7.68529725161973,7.94766426348771,9.52175486287174e-12,2.91983994574192e-10,16.3644904355729,"FAM238B","family with sequence similarity 238 member B"
"276","ILMN_3235006",1.01999537786192,8.45342423231621,8.18486175618883,3.24492620637886e-12,1.11527216280957e-10,17.423704915453,"CNGB1","cyclic nucleotide gated channel subunit beta 1"
"277","ILMN_3236653",1.33207757801296,7.767145862666,6.71615753584359,2.36763713568797e-09,4.24968818303795e-08,10.9475795945363,"RNU1-4","RNA, U1 small nuclear 4"
"278","ILMN_3236653",1.33207757801296,7.767145862666,6.71615753584359,2.36763713568797e-09,4.24968818303795e-08,10.9475795945363,"RNVU1-18","RNA, variant U1 small nuclear 18"
"279","ILMN_3236653",1.33207757801296,7.767145862666,6.71615753584359,2.36763713568797e-09,4.24968818303795e-08,10.9475795945363,"RNVU1-7","RNA, variant U1 small nuclear 7"
"280","ILMN_3236653",1.33207757801296,7.767145862666,6.71615753584359,2.36763713568797e-09,4.24968818303795e-08,10.9475795945363,"RNU1-27P","RNA, U1 small nuclear 27, pseudogene"
"281","ILMN_3236653",1.33207757801296,7.767145862666,6.71615753584359,2.36763713568797e-09,4.24968818303795e-08,10.9475795945363,"RNU1-28P","RNA, U1 small nuclear 28, pseudogene"
"282","ILMN_3236653",1.33207757801296,7.767145862666,6.71615753584359,2.36763713568797e-09,4.24968818303795e-08,10.9475795945363,"RNU1-3","RNA, U1 small nuclear 3"
"283","ILMN_3236653",1.33207757801296,7.767145862666,6.71615753584359,2.36763713568797e-09,4.24968818303795e-08,10.9475795945363,"RNU1-2","RNA, U1 small nuclear 2"
"284","ILMN_3236653",1.33207757801296,7.767145862666,6.71615753584359,2.36763713568797e-09,4.24968818303795e-08,10.9475795945363,"RNU1-1","RNA, U1 small nuclear 1"
"285","ILMN_3237878",-1.04590419944472,7.33448933522406,-6.23557275568194,1.92549775510569e-08,2.90695991007388e-07,8.89647193165441,"LILRA3","leukocyte immunoglobulin like receptor A3"
"286","ILMN_3239343",1.09983801187084,8.96742322900604,9.51047885880838,7.79112810334364e-15,5.33229323988841e-13,23.3650254811996,NA,NA
"287","ILMN_3239388",1.07242998221346,6.43887795533697,8.40703411975262,1.18159314549257e-12,4.56624833901319e-11,18.4181329448102,NA,NA
"288","ILMN_3239548",1.03201472914957,8.02861949283752,9.58396884643766,5.58108101914031e-15,3.99334803102851e-13,23.693794364751,"STAG3L1","STAG3 cohesin complex component like 1 (pseudogene)"
"289","ILMN_3239548",1.03201472914957,8.02861949283752,9.58396884643766,5.58108101914031e-15,3.99334803102851e-13,23.693794364751,"STAG3L3","STAG3 cohesin complex component like 3 (pseudogene)"
"290","ILMN_3239548",1.03201472914957,8.02861949283752,9.58396884643766,5.58108101914031e-15,3.99334803102851e-13,23.693794364751,"STAG3L2","STAG3 cohesin complex component like 2 (pseudogene)"
"291","ILMN_3239653",1.09754168662904,6.34917808516886,8.48436125628982,8.31065067986807e-13,3.36588480022375e-11,18.7646200117253,"RAX2","retina and anterior neural fold homeobox 2"
"292","ILMN_3240236",1.07816505104535,8.26697651730669,8.3983519256105,1.22920519910243e-12,4.70024180748283e-11,18.3792401102017,"SMCR5","Smith-Magenis syndrome chromosome region, candidate 5"
"293","ILMN_3241957",1.15346022752107,6.42511937212808,10.6106406810575,5.43710946479318e-17,6.77487714205856e-15,28.2581215973183,"D2HGDH","D-2-hydroxyglutarate dehydrogenase"
"294","ILMN_3243069",1.0483737697905,6.95922468905328,9.30597332650802,1.97330729936077e-14,1.2197312029452e-12,22.4492322497395,"CDK11B","cyclin dependent kinase 11B"
"295","ILMN_3243069",1.0483737697905,6.95922468905328,9.30597332650802,1.97330729936077e-14,1.2197312029452e-12,22.4492322497395,"CDK11A","cyclin dependent kinase 11A"
"296","ILMN_3243112",-1.08337894158135,6.07855472163217,-3.82134497868156,0.000259185811579703,0.00165447293404162,-0.28757119043465,"RNF182","ring finger protein 182"
"297","ILMN_3243568",1.03833261595032,6.27236228536807,9.30636566695874,1.96978992855789e-14,1.2197312029452e-12,22.450990279864,"VSTM4","V-set and transmembrane domain containing 4"
"298","ILMN_3243593",1.10145403165617,11.5675424103806,10.7664561204475,2.7087630053936e-17,3.85297060743094e-15,28.9447020190714,"RNA18SN5","RNA, 18S ribosomal N5"
"299","ILMN_3243644",1.05063006279104,8.77655772627531,7.42165065418077,1.02356655953997e-10,2.45614365892864e-09,14.0297331946893,"RNA28SN5","RNA, 28S ribosomal N5"
